Časová pečiatka,Uveďte Váš vek:,Uveďte Vaše pohlavie:,1. Ako hodnotíte všeobecnú prehľadnosť slovensko.sk?,2. Ako hodnotíte dizajn a prehľadnosť slovensko.sk pri navštívení cez mobilný prehliadač?,3. Ako hodnotíte schránku dokumentov na slovensko.sk?,4. Aké sú Vaše dojmy z inštalácie potrebných programov pre používanie elektronického občianskeho preukazu?,5. Ak ste si vytvorili vlastný e-podpis bol pre Vás tento proces náročný?,6. Za akým účelom najčastejšie navštevujete slovensko.sk?,7. Ktorú z nasledujúcich elektronických služieb ste už využili?,8. Ako hodnotíte funkčnosť vybraných služieb?,9. Nakoľko sú Vaše skúsenosti s inými eGovernment portálmi ako slovensko.sk pozitívne? ,"10. Je pre Vás slovensko.sk pohodlnejšie, ako osobný styk na úradoch?"
27.4.2018 23:49:38,19,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Negatívne,Nie
28.4.2018 0:13:51,21,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
28.4.2018 0:32:28,24,Muž,Málo prehľadné,Málo prehľadné,Nepoužívam,"Zložitá inštalácia, avšak prehľadné návody",Stredne náročný,Vyhľadávanie informácií,Výpis alebo odpis z registra trestov,Často ne fungujú,Negatívne,Nie
28.4.2018 0:48:18,23,Muž,Celkom prehľadné,Celkom prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
28.4.2018 0:59:27,24,Muž,Neprehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Náročný,Používanie služieb verejnej správy,"Výpis z obchodného registra, Výpis alebo odpis z registra trestov, Vydanie nového občianskeho preukazu s čipom",Často ne fungujú,Veľmi negatívne,Nie
28.4.2018 1:10:47,17,Muž,Neprehľadné,Nepoužívam,Ťažko sa mi s ňou pracuje,Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Žiadne,Nepoužívam,Neutrálne,Áno
28.4.2018 1:59:02,20,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
28.4.2018 2:18:13,24,Muž,Málo prehľadné,Málo prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
28.4.2018 2:51:02,20,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
28.4.2018 6:51:01,23,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
28.4.2018 8:37:39,22,Žena,Prehľadné,Prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Žiadne,Nepoužívam,Neutrálne,Áno
28.4.2018 9:19:03,33,Muž,Málo prehľadné,Nepoužívam,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Náročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Výpis z obchodného registra, Ohlásenie živnosti, Rôzne oznámenia na úrady, ktoré sú v rámci podnikania potrebne",Často ne fungujú,Negatívne,Nie
28.4.2018 9:21:36,23,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
28.4.2018 9:49:48,24,Žena,Celkom prehľadné,Celkom prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
28.4.2018 10:06:55,23,Muž,Málo prehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,Neinštaloval/a som,Nevytvoril,Vyhľadávanie informácií,Žiadne,Často ne fungujú,Pozitívne,Nie
28.4.2018 10:07:56,34,Muž,Celkom prehľadné,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
28.4.2018 10:13:03,23,Muž,Neprehľadné,Málo prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
28.4.2018 11:02:32,29,Muž,Málo prehľadné,Nepoužívam,Nepoužívam,Zložitá inštalácia a neprehľadné návody,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
28.4.2018 11:02:36,21,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
28.4.2018 11:06:03,21,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
28.4.2018 11:07:13,20,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
28.4.2018 11:21:53,46,Muž,Celkom prehľadné,Celkom prehľadné,Ťažko sa mi s ňou pracuje,Jednoduchá inštalácia a prehľadné návody,Stredne náročný,"Pracovne, je to nevyhnutné kvôli mojej práci",Prevzatie korespondencie s uradmi,Vždy fungujú,Neutrálne,Áno
28.4.2018 12:05:32,26,Muž,Celkom prehľadné,Málo prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre",Jednoduchá inštalácia a prehľadné návody,Nenáročný,Vyhľadávanie informácií,Žiadne,Často fungujú,Neutrálne,Áno
28.4.2018 12:24:23,29,Muž,Neprehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Náročný,Vyhľadávanie informácií,Prihlásenie na trvalý pobyt alebo na prechodný pobyt,Často ne fungujú,Negatívne,Áno
